,Unnamed: 0,section,title,page_no,content,tagged_content
0,0,1,Basics of Geometry,1,In this chapter students will learn about the building blocks of geometry. We will start with the basics: point line and plane and build upon those terms. From here students will learn about segments midpoints angles bisectors angle relationships and how to classify polygons. ,Angle|Angle|Polygon|Geometry|Midpoint|Line (geometry)|Point (geometry)|Plane (geometry)|Angle bisector theorem|Line segment|Bisection
1,1,1.1,Basic Geometric Definitions,2,Here youll learn the basic geometric definitions and rules you will need to succeed in geometry. What if you were given picture of figure or an object like map with cities and roads marked on it? How could you explain that picture geometrically? After completing this Concept youll be able to describe such map using geometric terms. Guidance point is an exact location in space. point describes location but has no size. Dots are used to represent points in pictures and diagrams. These points are said Point Point and Point F. Points are labeled with CAPITAL letter. line is set of infinitely many points that extend forever in both directions. line like point does not take up space. It has direction location and is always straight. Lines are one-dimensional because they only have length (no width). line can by named or identified using any two points on that line or with lower-case italicized letter. This line can be labeled PQ QP or just g. You would say line PQ line QP or line respectively. Notice that the line over the PQ and QP has arrows over both the and Q. The order of and does not matter. plane is infinitely many intersecting lines that extend forever in all directions. Think of plane as huge sheet of paper that goes on forever. Planes are considered to be two-dimensional because they have length and width. plane can be classified by any three points in the plane. This plane would be labeled Plane ABC or Plane Again the order of the letters does not matter. We can use point line and plane to define new terms. Space is the set of all points extending in three dimensions. Think back to the plane. It extended along two different lines: up and down and side to side. If we add third direction we have something that looks like three-dimensional space or the real-world. Points that lie on the same line are collinear. and are collinear because they are all on line w. If point were located above or below line it would be non-collinear. Points andor lines within the same plane are coplanar. Lines and and points BC and are coplanar in Plane Line KF and point are non-coplanar with Plane An endpoint is point at the end of line segment. Line segments are labeled by their endpoints AB or BA. Notice that the bar over the endpoints has NO arrows. Order does not matter. ray is part of line with one endpoint that extends forever in the direction opposite that endpoint. ray is labeled by its endpoint and one other point on the line. Of lines line segments and rays rays are the only one where order matters. When labeling always write the endpoint under the side WITHOUT the arrow CD or DC. An intersection is point or set of points where lines planes segments or rays cross each other. Postulates With these new definitions we can make statements and generalizations about these geometric figures. This section introduces few basic postulates. Throughout this course we will be introducing Postulates and Theorems so it is important that you understand what they are and how they differ. Postulates are basic rules of geometry. We can assume that all postulates are true much like definition. Theorems are statements that can be proven true using postulates definitions and other theorems that have already been proven. The only difference between theorem and postulate is that postulate is proven true. We will prove theorems later in this course. Postulate 1: Given any two distinct points there is exactly one (straight) line containing those two points. Postulate 2: Given any three non-collinear points there is exactly one plane containing those three points. Postulate 3: If line and plane share two points then the entire line lies within the plane. Postulate 4: If two distinct lines intersect the intersection will be one point. Postulate 5: If two distinct planes intersect the intersection will be line. When making geometric drawings be sure to be clear and label all points and lines. Vocabulary point is an exact location in space. line is infinitely many points that extend forever in both directions. plane is infinitely many intersecting lines that extend forever in all directions. Space is the set of all points extending in three dimensions. Points that lie on the same line are collinear. Points andor lines within the same plane are coplanar. An endpoint is point at the end of part of line. line segment is part of line with two endpoints. ray is part of line with one endpoint that extends forever in the direction opposite that point. An intersection is point or set of points where lines planes segments or rays cross. postulate is basic rule of geometry is assumed to be true. theorem is statement that can be proven true using postulates definitions and other theorems that have already been proven. ,Space (mathematics)|Space (mathematics)|Space (mathematics)|Space (mathematics)|Space (mathematics)|Space (mathematics)|Collinearity|Collinearity|Collinearity|Geometry|Geometry|Geometry|Geometry|Geometry|Geometry|Geometry|Geometry|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Plane (geometry)|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment
2,2,1.2,Distance Between Two Points,10,Here youll learn how to measure using ruler how to add segments and how to place line segments on coordinate grid. The average adult human body can be measured in heads. For example the average human is 7-8 heads tall. When doing this keep in mind that each person uses their own head to measure their own body. Other interesting measurements are in the picture below. What if you wanted to determine other measurements like the length from the wrist to the elbow or the length from the top of the neck to the hip? After completing this Concept you will know how to accurately measure using many different units of measurement. Guidance Distance is the length between two points. To measure is to determine how far apart two geometric objects are. Inch- rulers are usually divided up by 18 -in. (or 0.125 in) segments. Centimeter rulers are divided up by 10 -centimenter (or 0.1 cm) segments. The two rulers above are NOT DRAWN TO SCALE. Anytime you see this statement it means that the measured length is not actually the distance apart that it is labeled. You should never assume that objects are drawn to scale. Always rely on the measurements or markings given in diagram. The Ruler Postulate states that the distance between two points will be the absolute value of the difference between the numbers shown on the ruler. The ruler postulate implies that you do not need to start measuring at as long as you subtract the first number from the second. Absolute value is used because distance is always positive. Before we introduce the next postulate we need to address what the word between means in geometry. is between and in this picture. As long as is anywhere on the segment it can be considered to be between the endpoints. The Segment Addition Postulate states that if and are collinear and is between and then AB BC AC. The picture above illustrates the Segment Addition Postulate. If AB cm and BC 12 cm then AC must equal 12 or 17 cm. You may also think of this as the sum of the partial lengths will be equal to the whole length. In Algebra you worked with graphing lines and plotting points in the plane. At this point you can find the distances between points plotted in the plane if the lines are horizontal or vertical. If the line is vertical find the change in the ycoordinates. If the line is horizontal find the change in the xcoordinates. ,Scaling (geometry)|Scaling (geometry)|Coordinate system|Collinearity|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Distance|Distance|Distance|Distance|Distance|Geometry|Geometry|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Plane (geometry)|Plane (geometry)|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment
3,3,1.3,Congruent Angles and Angle Bisectors,16,Here youll learn how to find unknown values using the definitions of angle congruency and angle bisector. Youll also learn how to construct an angle bisector. What if you knew that an angle was split exactly in half? How could you use this information to help you solve problems? After completing this Concept youll be able to bisect an angle and solve problems related to angle bisectors. Guidance When two rays have the same endpoint an angle is created. Here BA and BC meet to form an angle. An angle is labeled with an symbol in front of the three letters used to label it. This angle can be labeled ABC or CBA. Always put the vertex (the common endpoint of the two rays) in the middle of the three points. It doesnt matter which side point is written first. An angle bisector is ray that divides an angle into two congruent angles each having measure exactly half of the original angle. Every angle has exactly one angle bisector. BD is the angle bisector of ABC ABD DBC ABD ABC Label equal angles with angle markings as shown below. 1. Draw an angle on your paper. Make sure one side is horizontal. 2. Place the pointer on the vertex. Draw an arc that intersects both sides. 3. Move the pointer to the arc intersection with the horizontal side. Make second arc mark on the interior of the angle. Repeat on the other side. Make sure they intersect. 4. Connect the arc intersections from with the vertex of the angle. When two geometric figures have the same shape and size then they are congruent. An angle bisector is ray that divides an angle into two congruent angles each having measure exactly half of the original angle. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Congruence (geometry)|Congruence (geometry)|Congruence (geometry)|Congruence (geometry)|Geometry|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Angle bisector theorem|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection
4,4,1.4,Midpoints and Segment Bisectors,21,Here youll learn what midpoint segment bisector and perpendicular bisector are and how to use their properties to solve for unknown values. What if you were given the coordinates of two points and you wanted to find the point exactly in the middle of them? How would you find the coordinates of this third point? After completing this Concept youll be able to use the Midpoint Formula to find the location of such point in the coordinate plane and youll be able to give specific examples of lines that create midpoints. Because AB BC is the midpoint of AC. Any line segment will have exactly one midpoint. When points are plotted in the coordinate plane you can use slope to find the midpoint between then. We will generate formula here. Here are two points (-5 6) and (3 4). Draw line between the two points and determine the vertical distance and the horizontal distance. So it follows that the midpoint is down and over half of each distance. The midpoint would then be down (or -2) from (-5 6) and over positive 4. If we do that we find that the midpoint is (-1 4). Lets create formula from this. If the two endpoints are (-5 6) and (3 4) then the midpoint is (-1 4). -1 is halfway between -5 and and is halfway between and 2. Therefore the formula for the midpoint is the average of the xvalues and the average of the yvalues. +y Midpoint Formula: For two points (x and (x the midpoint is +x line segment or ray that passes through midpoint of another segment is called segment bisector. bisector cuts line segment into two congruent parts. specific type of segment bisector is called perpendicular bisector when the bisector intersects the segment at right angle. DE is the perpendicular bisector of AC so AB BC and AC DE. For every line segment there is one perpendicular bisector that passes through the midpoint. There are infinitely many bisectorsone perpendicular bisector for any segment. Investigation: Constructing Perpendicular Bisector 1. Draw line that is at least cm long about halfway down your page. 2. Place the pointer of the compass at an endpoint. Open the compass to be greater than half of the segment. Make arc marks above and below the segment. Repeat on the other endpoint. Make sure the arc marks intersect. 3. Use your straight edge to draw line connecting the arc intersections. ,Coordinate system|Coordinate system|Coordinate system|Coordinate system|Slope|Angle|Angle|Right angle|Distance|Distance|Distance|Edge (geometry)|Grade (slope)|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Midpoint|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Plane (geometry)|Plane (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Line segment|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Bisection|Two-dimensional space|Two-dimensional space|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Perpendicular|Cartesian coordinate system|Cartesian coordinate system
5,5,1.5,Angle Measurement,26,Here youll learn how to measure an angle with protractor and how to apply the Angle Addition Postulate to find unknown values. What if you needed way to describe the size of an angle? After completing this Concept youll be able to use protractor to measure an angle in degrees. Guidance We measure line segments lengthprotractor. protractor is measuring device that measures how open an angle is. Angles are measured in degrees and labeled with symbol. Notice that there are two sets of measurements one opening clockwise and one opening counter-clockwise from to 180 When measuring angles always line up one side with and see where the other side hits the protractor. The vertex lines up in the middle of the bottom line where all the degree lines meet. For every angle there is number between and 180 that is the measure of the angle in degrees. The angles measure is then the absolute value of the difference of the numbers shown on the protractor where the sides of the angle intersect the protractor. In other words you do not have to start measuring an angle at as long as you subtract one measurement from the other. The Angle Addition Postulate states that if is on the interior of ADC then ADC ADB BDC. See the picture below. Drawing 1. Start by drawing horizontal line across the page about in long. 2. Place an endpoint at the left side of your line. 3. Place the protractor on this point. Make sure to put the center point on the bottom line of the protractor on the vertex. Mark 50 on the appropriate scale. 4. Remove the protractor and connect the vertex and the 50 mark. This process can be used to draw any angle between and 180 See http:www.mathsisfun.comgeometryprotr actor-using.html for an animation of this investigation. Copying an Angle with Compass and Straightedge 1. We are going to copy the angle created in the previous investigation 50 angle. First draw straight line about inches long and place an endpoint at one end. 2. With the point (non-pencil side) of the compass on the vertex draw an arc that passes through both sides of the angle. Repeat this arc with the line we drew in 1. 3. Move the point of the compass to the horizontal side of the angle we are copying. Place the point where the arc intersects this side. Open (or close) the mouth of the compass so you can draw an arc that intersects the other side of the arc drawn in 2. Repeat this on the line we drew in 1. 4. Draw line from the new vertex to the arc intersections. ,Scaling (geometry)|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Point (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Vertex (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Arc (geometry)|Line segment
6,6,1.6,Angle Classification,33,Here youll learn how to classify angles based on their measure. What if you wanted to group different angles into different categories? After completing this Concept youll be able to classify angles geometrically. Guidance By looking at the protractor we measure angles from to 180 Angles can be classified or grouped into four different categories. Straight Angle: When an angle measures 180 The angle measure of straight line. The rays that form this angle are called opposite rays. Right Angle: When an angle measures 90 Notice the half-square marking the angle. This marking is always used to mark right or 90 angles. Acute Angles: Angles that measure between and 90 Obtuse Angles: Angles that measure between 90 and 180 It is important to note that 90 is NOT an acute angle and 180 is NOT an obtuse angle. Any two lines or line segments can intersect to form four angles. If the two lines intersect to form right angles we say the lines are perpendicular. The symbol for perpendicular is so these two lines would be labeled lm or AC DE. There are several other ways to label these two intersecting lines. This picture shows two perpendicular lines four right angles four 90 angles and even two straight angles ABC and DBE. Vocabulary straight angle is when an angle measures 180 right angle is when an angle measures 90 Acute angles are angles that measure between and 90 Obtuse angles are angles that measure between 90 and 180 If two lines intersect to form right angles the lines are perpendicular. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Right angle|Right angle|Right angle|Right angle|Right angle|Geometry|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line (geometry)|Line segment|Perpendicular|Perpendicular|Perpendicular|Perpendicular
7,7,1.7,Complementary Angles,37,Here youll learn what complementary angles are and how they can help you to solve problems. What if you knew that two angles together made right angle? After completing this Concept youll be able to use what you know about complementary angles to solve problems about these angles. Guidance Two angles are complementary when they add up to 90 Complementary angles do not have to be congruent to each other nor do they have to be next to each other. Two angles are complementary when they add up to 90 ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Right angle
8,8,1.8,Supplementary Angles,41,Here youll learn what supplementary angles are and how they can help you to solve problems. What if you were given two supplementary angles? How would you determine their angle measures? After completing this Concept youll be able to use the definition of supplementary angles to solve problems like this one. Two angles are supplementary when they add up to 180 Supplementary angles do not have to be congruent or touching. Two angles are supplementary when they add up to 180 ,Angle|Angle|Angle|Angle|Angle|Angle|Angle
9,9,1.9,Linear Pairs,44,Here youll learn what linear pairs are and how they can help you to solve problems. What if you notice two angles in picture that make straight line? What information does this give you about the angles? After completing this Concept youll be able to apply the properties of linear pairs to help you solve problems. Adjacent angles are two angles that have the same vertex share side and do not overlap. In the picture below PSQ and QSR are adjacent. linear pair is two angles that are adjacent and whose non-common sides form straight line. If two angles are linear pair then they are supplementary. PSQ and QSR are linear pair. Adjacent angles are two angles that have the same vertex share side and do not overlap. linear pair is two angles that are adjacent and whose non-common sides form straight line. If two angles are linear pair then they are supplementary. ,Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Angle|Line (geometry)|Line (geometry)|Line (geometry)|Vertex (geometry)|Vertex (geometry)
