,concept,key_terms
0,Sonic boom,sonicboom|sonic booms|sonic boom
1,Absorption spectroscopy,absorption spectrum|absorption spectra|absorption spectroscopy|transmission spectroscopy|crystal absorption spectra|absorbtion spectroscopy|dark-line spectrum|absorption spectrometry
2,Coulomb,zeptocoulomb|picocoulombs|microcoulomb|columb|yottacoulomb|teracoulomb|megacoulomb|femtocoulomb|zettacoulomb|kilocoulomb|ampere-second|attocoulomb|coulomb|coloumb|nanocoulomb|millicoulomb|picocoulomb|gigacoulomb|yoctocoulomb|petacoulomb|exacoulomb
3,Magnet,magnet
4,Gravity,gravity
5,Refraction,refraction
6,Angle of incidence,incidence angle|grazing incidence|rigging angle|incident angles|grazing angle|angles of incidence|angle of incidence|grazing ange|glancing angle|incident angle
7,Electric potential energy,coulomb energy|coulomb potential energy|electrical potential energy|electric potential energy|electrostatic potential energy|electrostatic energy
8,Wavelength,wavelengths|wavelength|wave length
9,Emission spectrum,emission spectra|molecular spectra|atomic emission spectrum|atomic spectra|bright-line spectrum|emission spectroscopy|line-emission spectrum|emission|flame emmission spectrometer|emission spectrometry|molecular radiation|emission coefficient|energy spectrum|emission spectrum|spectral emissions|energy spectra|molecular band emission|molecular emission|atomic spectrum|line spectrum
10,Potential energy,potential energy
11,Energy level,electronic state|quantized electronic structure|energy level|quantum energy|energy state|atomic energy level|energy levels|quantum levels|quantum energy level|quantum level|molecular energy state
12,Inertial frame of reference,equivalence of inertial frames|inertial frame|inertial reference frames|inertial frame of reference|inertial reference frame|inertial space|inertial|inertial observer|inertial frames of reference|velocity reference frames|inertial frames|inertial system
13,Plasticity (physics),plasticity
14,Real image,real object|real image
15,Velocity,velocity
16,Light,light
17,Newton's laws of motion,inertia|newton’s first law of motion|newton’s second law of motion|newton's laws of motion|newton’s third law of motion|newton’s second law|newton’s first law|newton’s third law|law of inertia|newton's laws
18,Motion graphs and derivatives,motion graphs and derivatives|velocity vs. time graph|motion graphs|displacement vs. time graph|v-t graph|d-t graph|position vs. time graph|position vs. time curves
19,Relative velocity,relative velocity
20,Frequency,frequency|wave period|frequencies
21,Electric potential,electrical potential difference|electric scalar potential|electric potential|coulomb potential|electrostatic potential|electrical scalar potential|electrical potential
22,Hooke's law,hooke's law|hookes law|spring equation
23,Mass,mass
24,Mechanical energy,mechanical energy|conservation of mechanical energy
25,Resonance (particle physics),resonance
26,Amplitude,amplitudes|amplitude
27,Work (physics),work
28,Speed,speed
29,Crystallinity,crystallinity|crystaline|crystalline
30,Gravitational acceleration,gravitational acceleration|acceleration due to gravity|gravitational acceleration of a ball|acceleration of free fall
31,Diffraction,diffraction|diffractions
32,Transverse wave,transverse wave|tranverse wave
33,Electroscope,electroscope
34,Strength of materials,mechanics of materials|resistance of materials|mechanical strength|strength|strength of materials|stress-strain relations|material strength|materials strength
35,Torque,torque
36,Photoelectric effect,photoelectriceffect|photo electric effect|photoelectric effect
37,Sound,sound
38,Elasticity (physics),elastic body|elastic solid|elastic|elasticity theory|elasticity|elastostatics|elasticity of materials
39,Laser,laser
40,Electric field,electrostatic fields|electric field vector|e-field|electric field|electrostatic field|e field|electrical fields|electric fields|electrical field|volts per metre|electric field strength
41,Sound intensity,acoustic intensity|sound intensity|sound intensity level
42,Dielectric,dielectric
43,Coulomb's law,coulomb law|coulomb's law
44,Doppler effect,doppler effect
45,Standing wave,standing wave|stationary waves|standing-wave|stationary vibration|standing waves|stationary wave
46,Force,force
47,Refracting telescope,refractor telescope|refracting telescope|keplerian telescope|galileo telescope|galilean telescope|kepler refractor
48,Telescope,telescope
49,Le Sage's theory of gravitation,lesage's theory of gravitation|le sage theory of gravitation|le sages theory of gravitation|lesage|shadow gravity|gravity|pushing gravity|push gravity|mock gravity|kinetic theory of gravity|lesage gravity|le sage's theory of gravitation
50,Hardness,hard|hardness
51,Newton's law of universal gravitation,newton's theory of gravity|newtons law of gravity|newtonian attraction|newton law of gravity|gravitation law|newtonian gravity|newton's universal law of gravitation|newton’s law of gravitation|newton laws of gravity|newton's gravitational law|gravitational force|newtons laws of gravity|gravity inverse square law|law of universal gravitation|universal gravity|newton law of gravitation|newtonian gravitation|newtonian gravitational field|newton's law of gravity|law of gravitational attraction|newton's theory of gravitation|newton theory of gravitation|law of universal gravity|newton's law of universal gravitation|universal gravitation|newton's law of gravitation|newton’s law of universal gravitation|law of gravitation
52,Intensity (physics),intensity
53,Wave,wave
54,Scattering,scatter|scattering
55,Elastic collision,elastic interaction|why balls bounce?|elastic collision|elastic interactions|elastic collisions
56,Position (vector),position
57,Optical microscope,transmitted light microscope|optical light microscope|optic microscopy|compound microscope|optical microscope|binocular microscope|visible light microscope|optical microscopy|microscope|light microscope
58,Virtual image,virtual image|virtual object
59,Geometrical optics,ray optics|geometrical optics|geometric optics|optics
60,Snell's law,angle of refraction|snells law|snell’s law|snell's law of refraction|laws of refraction|law of refraction|snel's law|descartes law|snells' law|snell law|snell's law
61,Normal force,normal reaction|normal force
62,Insulator (electricity),insulator
63,Creep (deformation),creep
64,Inelastic collision,inelastic collision|inelastic interaction
65,Contact force,contact force
66,Electromotive force,emf|electro magnetic force|electro motive force|em force|electromagnetic force|electromotive force
67,Rarefaction,rarefaction|rarefraction\
68,Electrical polarity,electrical polarity
69,Hertz,hertz|hz
70,Fracture,fracture
71,Huygens–Fresnel principle,huyghens principle|huygens' wave theory|huygens-fresnel principle|fresnel's principle|huygens principle|difraction losses|huygens–fresnel principle|huygens'-fresnel principle|diffraction losses|huygen principle|huygens–fresnel equation|huygens fresnel principle|fresnel principle|huygens' construction|huygen's principle|huygens's principle|huygens' principle
72,Color,color|colour
73,Magnetic field,magnetic field density|magnetic flux density|nonlinear magnetic field|b-field|magnetic force field|magnetic fields|magnetic field|magnetic field strength
74,Voltage,electrical voltage|voltage difference|terminal potential difference|difference of potential|electric potential difference|voltages|difference of electric potential|difference of electrical potential|difference in electric potential|electrical tension|potential difference|voltage|electric tension|difference in electrical potential
