,topic_a,topic_b,relation
0,Magnetic field,Inertial frame of reference,0
1,Gravitational acceleration,Position (vector),1
2,Energy,Planet,0
3,Mechanical energy,Gravitational field,0
4,Physics,Electric potential energy,0
5,Newton's laws of motion,Motion,0
6,Motion graphs and derivatives,Acceleration,0
7,Speed,Length,0
8,Energy,Intensity (physics),0
9,Snell's law,Refractive index,1
10,Hooke's law,Work (physics),0
11,Acceleration,Displacement (vector),1
12,Physics,Collision,0
13,Electron,Mechanical energy,0
14,Mass,Wave,0
15,Potential energy,Gravity,0
16,Refractive index,Electric field,0
17,Hardness,Elasticity (physics),1
18,Photoelectric effect,Collision,0
19,Refractive index,Reflection (physics),0
20,Shock wave,Wave,1
21,Projectile motion,Gravity,1
22,Non-inertial reference frame,Frame of reference,1
23,Diffraction,Field (physics),0
24,Intensity (physics),Energy,1
25,Electrical conductor,Electromagnetic spectrum,0
26,Magnetic field,Velocity,0
27,Crest (physics),Doppler effect,0
28,Wave,Reflection (physics),0
29,Energy,Collision,0
30,Sound intensity,Wave,0
31,Refractive index,Scattering,0
32,Physics,Stiffness,0
33,Magnetic field,Relative velocity,0
34,Snell's law,Speed,1
35,Electric potential,Joule,0
36,Temperature,Physics,0
37,Energy level,Temperature,0
38,Velocity,Doppler effect,0
39,Normal force,Velocity,0
40,Electromagnetic radiation,Velocity,0
41,Magnetism,Electric current,0
42,Electric potential,Magnetic field,0
43,Newton's law of universal gravitation,Physics,1
44,Position (vector),Acceleration,0
45,Refractive index,Wave,1
46,Physics,Snell's law,0
47,Energy,Joule,0
48,Electromotive force,Voltage,1
49,Diffraction,Scattering,0
50,Plane mirror,Length,0
51,Capacitance,Coulomb,0
52,Dielectric,Voltage,0
53,Refractive index,Refraction,1
54,Magnetism,Field line,0
55,Energy level,Energy,1
56,Distance,Optical microscope,0
57,Elastic collision,Kinetic energy,1
58,Electrostatics,Electric current,0
59,Displacement (vector),Mass,0
60,Projectile motion,Speed,1
61,Electron,Electroscope,0
62,Electroscope,Electrostatics,0
63,Intensity (physics),Light,0
64,Electron,Frequency,0
65,Angle of incidence,Ray (optics),0
66,Temperature,Absorption spectroscopy,0
67,Newton's laws of motion,Collision,0
68,Mirror image,Reflection (physics),1
69,Laser,Absorption spectroscopy,0
70,Work (physics),Potential energy,0
71,Voltage,Electromotive force,0
72,Absorption spectroscopy,Wavelength,1
73,Position (vector),Force,0
74,Acceleration,Work (physics),0
75,Reflection (physics),Total internal reflection,0
76,Power (physics),Energy,1
77,Absorption spectroscopy,Planet,0
78,Refractive index,Laser,0
79,Gravity,Doppler effect,0
80,Amplitude,Doppler effect,0
81,Wave,Tension (physics),0
82,Intensity (physics),Velocity,0
83,Gravity of Earth,Torque,0
84,Deformation (engineering),Elasticity (physics),0
85,Acceleration,Electric potential,0
86,Work (physics),Position (vector),1
87,Magnetic field,Mirror image,0
88,Electromagnetic spectrum,Wavelength,1
89,Emission spectrum,Frequency,1
90,Potential energy,Power (physics),0
91,Specular reflection,Wave,1
92,Energy,Power (physics),0
93,Le Sage's theory of gravitation,Collision,0
94,Specular reflection,Euclidean vector,0
95,Electron,Absorption spectroscopy,0
96,Total internal reflection,Light,1
97,Physics,Rarefaction,0
98,Plasticity (physics),Hardness,0
99,Physics,Gravitational acceleration,0
100,Speed,Magnetic field,0
101,Energy level,Physics,1
102,Magnetic field,Magnet,1
103,Elasticity (physics),Wave,0
104,Phase velocity,Dispersion (optics),0
105,Physics,Wavelength,0
106,Fracture,Strength of materials,0
107,Diffraction,Wave,1
108,Free fall,Displacement (vector),1
109,Force,Sound intensity,0
110,Wavelength,Dispersion (optics),0
111,Temperature,Electrical resistance and conductance,0
112,Magnetic field,Absorption spectroscopy,0
113,Field (physics),Planet,0
114,Le Sage's theory of gravitation,Speed,1
115,Inelastic collision,Physics,1
116,Energy,Sound intensity,0
117,Energy level,Wavelength,0
118,Electromagnetic radiation,Magnet,1
119,Euclidean vector,Electrostatics,0
120,Friction,Hooke's law,0
121,Le Sage's theory of gravitation,Elastic collision,0
122,Hertz,Velocity,0
123,Doppler effect,Speed,1
124,Newton's law of universal gravitation,Gravitational constant,0
125,Wave,Transverse wave,0
126,Refractive index,Speed,1
127,Laser,Doppler effect,0
128,Acceleration,Non-inertial reference frame,0
129,Magnetic field,Electric current,1
130,Newton's law of universal gravitation,Gravitational field,0
131,Potential energy,Torque,0
132,Gravitational acceleration,Force,1
133,Free fall,Physics,1
134,Photoelectric effect,Kinetic energy,0
135,Position (vector),Motion,0
136,Energy,Electromotive force,0
137,Dispersion (optics),Light,1
138,Newton's laws of motion,Gravity of Earth,0
139,Light,Wavelength,0
140,Force,Plasticity (physics),0
141,Newton's law of universal gravitation,Kilogram,0
142,Doppler effect,Physics,1
143,Total internal reflection,Laser,0
144,Electrical conductor,Metre,0
145,Telescope,Reflection (physics),0
146,Energy,Hertz,0
147,Wavelength,Interference (wave propagation),0
148,Magnet,Electric field,0
149,Work (physics),Joule,0
150,Non-inertial reference frame,Motion,1
151,Photoelectric effect,Hertz,0
152,Inertial frame of reference,Collision,0
153,Light,Plane mirror,0
154,Speed,Snell's law,0
155,Electromotive force,Physics,1
156,Magnification,Refracting telescope,0
157,Force,Projectile motion,0
158,Force,Hardness,0
159,Snell's law,Velocity,0
160,Velocity,Elastic collision,0
161,Power (physics),Kilogram,0
162,Magnetic field,Energy,0
163,Joule,Mechanical energy,0
164,Speed,Motion,1
165,Mass,Electron,0
166,Force,Potential energy,0
167,Virtual image,Ray (optics),1
168,Electric field,Mass,0
169,Refractive index,Temperature,0
170,Field line,Magnetic field,0
171,Newton's laws of motion,Work (physics),0
172,Equations of motion,Motion,1
173,Electrostatics,Field line,0
174,Diffraction,Huygens–Fresnel principle,0
175,Force,Elasticity (physics),0
176,Energy,Potential energy,0
177,Electric field,Coulomb,0
178,Electric field,Electric current,0
179,Wave,Total internal reflection,0
180,Frequency,Energy,0
181,Lever,Length,0
182,Physics,Transmission medium,0
183,Intensity (physics),Laser,0
184,Magnetism,Length,0
185,Light,Refracting telescope,0
186,Physics,Shock wave,0
187,Photoelectric effect,Electromagnetic radiation,0
188,Dielectric,Hertz,0
189,Magnetic field,Voltage,0
190,Tension (physics),Mass,0
191,Interference (wave propagation),Electron,0
192,Euclidean vector,Force,0
193,Contact force,Force,1
194,Standing wave,Frequency,1
195,Magnetic field,Dielectric,0
196,Interference (wave propagation),Huygens–Fresnel principle,0
197,Amplitude,Refractive index,0
198,Specular reflection,Refractive index,0
199,Speed,Electron,0
200,Gravitational acceleration,Planet,0
201,Distance,Free fall,0
202,Acceleration,Velocity,1
203,Velocity,Metre,0
204,Capacitance,Voltage,1
205,Refractive index,Mass,0
206,Electrostatics,Electrical conductor,0
207,Sonic boom,Physics,1
208,Frame of reference,Electromagnetic spectrum,0
209,Capacitor,Laser,0
210,Ohm,Coulomb,0
211,Electric field,Physics,1
212,Magnetic field,Torque,0
213,Physics,Displacement (vector),0
214,Intensity (physics),Wave,0
215,Wave,Energy,0
216,Capacitor,Dielectric,0
217,Geometrical optics,Snell's law,0
218,Wave,Doppler effect,0
219,Ohm's law,Voltage,1
220,Power (physics),Intensity (physics),0
221,Le Sage's theory of gravitation,Energy,0
222,Capacitance,Electric current,0
223,Hooke's law,Stiffness,0
224,Electromagnetic spectrum,Electric field,1
225,Physics,Emission spectrum,0
226,Total internal reflection,Physics,1
227,Snell's law,Motion,1
228,Motion,Energy,0
229,Energy,Sonic boom,0
230,Magnetic field,Gravity of Earth,0
231,Electron,Electromagnetic radiation,0
232,Acceleration,Torque,0
233,Physics,Electric field,0
234,Diffraction,Interference (wave propagation),0
235,Fatigue (material),Deformation (engineering),1
236,Force,Stiffness,0
237,Distance,Gravity of Earth,0
238,Electric potential,Force,1
239,Electric charge,Capacitance,0
240,Friction,Mass,0
241,Elastic collision,Physics,1
242,Free fall,Gravitational field,0
243,Energy,Laser,0
244,Electric field,Wavelength,0
245,Elasticity (physics),Hardness,0
246,Force,Elastic collision,0
247,Refraction,Absorption spectroscopy,0
248,Refraction,Electromagnetic spectrum,0
249,Electric potential energy,Field (physics),1
250,Newton's laws of motion,Contact force,0
251,Coulomb's law,Dielectric,0
252,Projectile motion,Velocity,1
253,Electron,Distance,0
254,Le Sage's theory of gravitation,Wavelength,0
255,Collision,Le Sage's theory of gravitation,0
256,Gravity of Earth,Force,1
257,Magnetic field,Potential energy,0
258,Intensity (physics),Physics,1
259,Electric field,Force,0
260,Physics,Wave,0
261,Refractive index,Snell's law,0
262,Amplitude,Huygens–Fresnel principle,0
263,Motion,Electrostatics,0
264,Acceleration,Field (physics),0
265,Scattering,Velocity,0
266,Hardness,Deformation (engineering),1
267,Electron,Specular reflection,0
268,Standing wave,Voltage,0
269,Doppler effect,Wavelength,1
270,Diffraction,Dispersion (optics),0
271,Inelastic collision,Elastic collision,0
272,Magnetism,Coulomb,0
273,Gravitational acceleration,Gravity,1
274,Refractive index,Telescope,0
275,Energy,Mechanical energy,0
276,Elastic collision,Energy,1
277,Wave,Intensity (physics),0
278,Mass,Distance,0
279,Equations of motion,Field (physics),0
280,Displacement (vector),Work (physics),0
281,Kinetic energy,Mechanical energy,0
282,Gravitational field,Newton's law of universal gravitation,1
283,Velocity,Wave,0
284,Mirror image,Distance,0
285,Gravity,Gravitational acceleration,0
286,Potential energy,Euclidean vector,1
287,Wave,Elasticity (physics),0
288,Pitch (music),Hertz,0
289,Speed,Shock wave,0
290,Doppler effect,Frequency,1
291,Speed,Electromagnetic spectrum,0
292,Electron,Electrostatics,0
293,Electric potential,Coulomb's law,1
294,Euclidean vector,Gravitational acceleration,0
295,Frequency,Doppler effect,0
296,Fracture,Elasticity (physics),0
297,Temperature,Kilogram,0
298,Distance,Elastic collision,0
299,Gravitational acceleration,Motion,1
300,Physics,Doppler effect,0
301,Potential energy,Metre,0
302,Displacement (vector),Distance,1
303,Displacement (vector),Projectile motion,0
304,Electric potential,Capacitance,0
305,Motion,Newton's laws of motion,0
306,Speed,Rarefaction,0
307,Pigment,Wavelength,0
308,Wave,Physics,1
309,Temperature,Wavelength,0
310,Interference (wave propagation),Crest (physics),0
311,Wave,Electromagnetic spectrum,0
312,Electrical conductor,Electric current,1
313,Motion,Elastic collision,0
314,Inertial frame of reference,Velocity,0
315,Work (physics),Electrostatics,0
316,Force,Magnet,0
317,Force,Torque,0
318,Absorption spectroscopy,Energy,1
319,Motion,Inertial frame of reference,0
320,Capacitance,Distance,0
321,Coulomb's law,Emission spectrum,0
322,Position (vector),Free fall,0
323,Deformation (engineering),Creep (deformation),0
324,Shock wave,Energy,1
325,Electrical resistance and conductance,Energy,0
326,Motion,Mass,0
327,Magnet,Euclidean vector,0
328,Voltage,Electric current,0
329,Snell's law,Light,1
330,Magnetism,Physics,1
331,Force,Creep (deformation),0
332,Dielectric,Velocity,0
333,Velocity,Speed,0
334,Energy,Temperature,0
335,Euclidean vector,Gravity of Earth,0
336,Electrical conductor,Electroscope,0
337,Electrical resistance and conductance,Ohm,0
338,Amplitude,Voltage,0
339,Energy,Dielectric,0
