,topic_a,topic_b,relation
0,Differential equation,Number,1
1,Asymptote,Line (geometry),1
2,Cartesian coordinate system,Line (geometry),1
3,Partial fraction decomposition,Arithmetic,1
4,Logarithm,Natural logarithm,0
5,Square root,Exponentiation,0
6,Polygon,Line segment,1
7,Base (exponentiation),Exponential function,0
8,Equation,Quadratic equation,0
9,Mathematics,Linear inequality,0
10,Binomial theorem,Addition,1
11,Associative property,Complex number,0
12,Exponential growth,Exponential function,1
13,Mathematical induction,Mathematical proof,1
14,Quadratic formula,Real number,0
15,Continuous function,Mathematics,1
16,Asymptote,Mathematics,1
17,Circular sector,Geometry,1
18,Mathematics,Vertical line test,0
19,Integer,Partial fraction decomposition,0
20,Factorization,Partial fraction decomposition,0
21,Real number,Inequality (mathematics),0
22,Arithmetic,Mathematics,1
23,Addition,Circle,0
24,Dependent and independent variables,Function (mathematics),1
25,Equation,Pythagorean theorem,0
26,Line (geometry),Secant line,0
27,Algebra,Number,1
28,Sine wave,Mathematics,1
29,Circle,Geometry,1
30,Piecewise,Inverse function,0
31,Multiplication,Common logarithm,0
32,Empty sum,Arithmetic,1
33,Number,Empty sum,0
34,Linear equation,Equation,1
35,Solution of triangles,Point (geometry),1
36,Synthetic division,Polynomial long division,1
37,Inequality (mathematics),Mathematics,1
38,Arithmetic,Factorization,0
39,Function (mathematics),Exponential growth,0
40,Algebraic expression,Distributive property,0
41,Square (algebra),Algebraic expression,0
42,Line–line intersection,Point (geometry),1
43,Inequality (mathematics),Equality (mathematics),1
44,Rational number,Nth root,0
45,Parametric equation,Equation,1
46,Prime number,Zero of a function,0
47,Homogeneous polynomial,Addition,1
48,Limit of a function,Function (mathematics),1
49,Constant function,Linear function,0
50,Law of sines,Line segment,1
51,Minor (linear algebra),Square matrix,1
52,Coordinate system,Geometry,1
53,Number,Quadrant (plane geometry),0
54,Sine,Mathematics,1
55,Periodic function,Simple harmonic motion,0
56,Arithmetic,Subtraction,0
57,Associative property,Multiplication,0
58,Limit of a sequence,Mathematics,1
59,Focus (geometry),Circle,0
60,Exponentiation,Arithmetic,1
61,Perpendicular,Coordinate system,0
62,Function (mathematics),Periodic function,0
63,Quadratic formula,Arithmetic,1
64,Solution of triangles,Triangle,1
65,Addition,Rational number,0
66,Exponentiation,Quadratic equation,0
67,Rational root theorem,Equation,1
